net,length_um
net1,214.54
clk,199.78
net2,157.16
net3,145.82
net4,137.1
net8,130.88
net6,126.12
net7,115.7
net9,114.24
net5,82.835
clknet_1_1__leaf_clk,43.72
_17_,41
clknet_1_0__leaf_clk,34.96
clknet_0_clk,32.84
count[0],14.82
_16_,14.64
count[1],12.62
count[7],12.16
_18_,10.62
_05_,9.2
count[2],8.96
_20_,7.94
_01_,7.9
count[5],7.58
_13_,7.33
_03_,7.32
net10,7.22
rst,6.31
_19_,6.09
count[4],5.75
count[3],5.41
_04_,4.68
count[6],4.27
_06_,3.3
_08_,2.89
_10_,2.69
_14_,2.69
_15_,2.16
_07_,1.84
_02_,1.82
_00_,1.7
_11_,1.7
_09_,1.36
_12_,1.36
_21_,1.14
